,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
0,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
1,Samsung,Samsung Galaxy F05 , Galaxy F05 ,Twilight Blue,4,64,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP + 2MP ,5000,6499,29063
2,Motorola,Motorola g45 5G , g45 5G ,Viva Magenta,8,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,11999,91608
3,Motorola,Motorola g45 5G , g45 5G ,Brilliant Blue,4,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,9999,24083
4,Motorola,Motorola g45 5G , g45 5G ,Brilliant Green,8,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,11999,91608
5,Poco,Poco C61 , C61 ,Diamond Dust Black,4,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,5999,70039
6,Motorola,Motorola g05 , g05 ,Forest Green,4,64,False,Mediatek,Mediatek Helio G81 ,6.67 , 8MP ,50MP Rear Camera ,5200,6999,2783
7,Samsung,Samsung Galaxy A05 , Galaxy A05 ,Light Green,6,128,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP + 2MP ,5000,8450,141
8,Motorola,Motorola g45 5G , g45 5G ,Viva Magenta,4,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,9999,24083
9,Poco,Poco C61  - Locked with Airtel Prepaid , C61  - Locked with Airtel Prepaid ,Diamond Dust Black,4,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,5499,70039
10,Motorola,Motorola g05 , g05 ,Plum Red,4,64,False,Mediatek,Mediatek Helio G81 ,6.67 , 8MP ,50MP Rear Camera ,5200,6999,2783
11,Motorola,Motorola g45 5G , g45 5G ,Brilliant Blue,8,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,11999,91608
12,Poco,Poco C61 , C61 ,Ethereal Blue,4,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,5999,70039
14,Redmi,Redmi 13 5G , 13 5G ,Orchid Pink,6,128,True,Snapdragon,Snapdragon 4 Gen 2 AE ,6.79 , 13MP ,108MP + 2MP ,5030,12499,21179
15,Poco,Poco M6 5G , M6 5G ,Polaris Green,4,64,True,Mediatek,Mediatek Dimensity 6100+ ,6.74 , 5MP ,50MP Rear Camera ,5000,7749,130614
17,Motorola,Motorola Edge 50 Fusion , Edge 50 Fusion ,Marshmallow Blue,8,128,False,Snapdragon,Snapdragon 7s Gen 2 ,6.7 , 32MP ,50MP + 13MP ,5000,21999,94107
19,Infinix,Infinix Hot 50 5G , Hot 50 5G ,Sleek Black,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.7 , 8MP ,48MP + Depth Sensor ,5000,10999,10270
21,Realme,Realme C61 , C61 ,Marble Black,6,128,False,Unisoc,Unisoc T612 ,6.745 , 5MP ,32MP Rear Camera ,5000,8199,8698
22,Poco,Poco M6 5G , M6 5G ,Galactic Black,4,64,True,Mediatek,Mediatek Dimensity 6100+ ,6.74 , 5MP ,50MP Rear Camera ,5000,7749,130614
23,Motorola,Motorola g45 5G , g45 5G ,Brilliant Green,4,128,True,Snapdragon,Snapdragon 6s Gen 3 ,6.5 , 16MP ,50MP + 2MP ,5000,9999,24083
24,Oppo,Oppo K12x 5G with 45W SUPERVOOC Charger In-The-Box , K12x 5G with 45W SUPERVOOC Charger In-The-Box ,Breeze Blue,6,128,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 8MP ,32MP + 2MP ,5100,12999,124863
25,Motorola,Motorola Edge 50 Fusion , Edge 50 Fusion ,Marshmallow Blue,12,256,False,Snapdragon,Snapdragon 7s Gen 2 ,6.7 , 32MP ,50MP + 13MP ,5000,23999,106810
26,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
27,Redmi,Redmi 13C 5G , 13C 5G ,Startrail Silver,4,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.74 , 5MP ,50MP Rear Camera ,5000,9999,39303
28,Vivo,Vivo T3x 5G , T3x 5G ,Crimson Bliss,4,128,True,Snapdragon,Snapdragon 6 Gen 1 ,6.7165354 , 8MP ,50MP + 2MP ,6000,12499,47235
29,Realme,Realme P1 5G , P1 5G ,Phoenix Red,6,128,True,Mediatek,Mediatek Dimensity 7050 ,6.67 , 16MP ,50MP + 2MP ,5000,13999,79859
30,Realme,Realme C63 5G Charger in the Box , C63 5G Charger in the Box ,Forest Green,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 8MP ,32MP Rear Camera ,5000,12999,2017
33,Realme,Realme P1 5G , P1 5G ,Feather Blue,6,128,True,Mediatek,Mediatek Dimensity 7050 ,6.67 , 16MP ,50MP + 2MP ,5000,13999,79859
